country,year,indicator,value,source,jeu_donnees,source_file,theme,sub_dataset,region,area,network_type
,2006.0,Internet use (%),1.1471,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2007.0,Internet use (%),1.3661,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2008.0,Internet use (%),1.5553,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2009.0,Internet use (%),1.7496,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2010.0,Internet use (%),1.9934,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2011.0,Internet use (%),2.1918,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2012.0,Internet use (%),2.3968,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2013.0,Internet use (%),2.571,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2014.0,Internet use (%),2.7574,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2015.0,Internet use (%),2.9686,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2016.0,Internet use (%),3.2263,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2017.0,Internet use (%),3.4536,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2018.0,Internet use (%),3.7402,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2019.0,Internet use (%),4.1245,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2020.0,Internet use (%),4.6172,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2021.0,Internet use (%),4.9036,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2022.0,Internet use (%),5.1005,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2023.0,Internet use (%),5.2818,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2024.0,Internet use (%),5.5088,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
,2005.0,Internet use (%),1.0236,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
17.2,2006.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
20.2,2007.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
22.8,2008.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
25.3,2009.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
28.4,2010.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
30.9,2011.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
33.3,2012.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
35.3,2013.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
37.4,2014.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
39.8,2015.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
42.7,2016.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
45.2,2017.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
48.4,2018.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
52.9,2019.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
58.6,2020.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
61.7,2021.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
63.7,2022.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
65.4,2023.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
67.6,2024.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
15.6,2005.0,Internet use (%),,ITU,01- InternetUse1,01- InternetUse1.csv,InternetUse,InternetUse,,,
World,,Internet use (%),1.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
,,Internet use (%),2.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Africa,,Internet use (%),3.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Americas,,Internet use (%),4.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Arab States,,Internet use (%),5.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Asia-Pacific,,Internet use (%),6.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
CIS,,Internet use (%),7.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Europe,,Internet use (%),8.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
,,Internet use (%),9.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Low-income,,Internet use (%),10.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Lower-middle-income,,Internet use (%),11.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
Upper-middle-income,,Internet use (%),12.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
High-income,,Internet use (%),13.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
,,Internet use (%),14.0,ITU,02- InternetUse2,02- InternetUse2.csv,InternetUse,InternetUse,,,
