"Profil/terminal:

2G/3G/4G
2G/3G/4G/5G
","
Lieu/strate:

Toutes zones d'habitation
Zones denses
Zones intermediaires
Zones rurales
Zones touristiques
Transports - Routes
Transports - TGV
Transports - Intercités & TER
Transports - RER & Transiliens
Transports - Metro","Situation:

Indoor
Outdoor
Tous usages
Incar
Intrain
","Service:

DOWNLOAD
UPLOAD
WEB
VIDEO
VOIX-INTRA
VOIX-INTRA-INTER
SMS","Indicateur:

Taux de fichier reçu
Débit moyen
Taux de fichier envoyé
Taux d'accroche 5G
Chargement Web < 5s
Chargement Web < 10s
Diffusion réussie et de qualite parfaite
Diffusion réussie et de qualite correcte
Communications réussies
Communications réussies et de qualité parfaite
Réception SMS <10s

",Bouygues Telecom,Free Mobile,Orange,SFR,Volumétrie totale,Moyenne
2G/3G/4G/5G,Transports - Intercites et TER,intrain,VOIX,Communications réussies,0.6009593421653723,0.5897640487860482,0.6737099644128114,0.5923509561304837,35411,0.614498319731157
2G/3G/4G/5G,Transports - Intercites et TER,intrain,VOIX,Communications réussies et sans perturbations audibles,0.40977615349474644,0.38208138607089936,0.48265124555160144,0.40764904386951634,35411,0.4208861653158623
2G/3G/4G/5G,Transports - Intercites et TER,intrain,SMS,Réception SMS <10s,0.7125833606646989,0.7330049261083744,0.7750819672131147,0.7382992748846408,35411,0.7397492746482729
2G/3G/4G/5G,Transports - Intercites et TER,intrain,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.7058183669690798,0.7407679926419867,0.7858846736088811,0.7349855196315814,172422,0.7420050805581654
2G/3G/4G/5G,Transports - Metros,intrain,VOIX,Communications réussies,0.9759277833500501,0.9370558375634518,0.957843137254902,0.9530469530469531,8006,0.9560329752685486
2G/3G/4G/5G,Transports - Metros,intrain,VOIX,Communications réussies et sans perturbations audibles,0.8054162487462387,0.7147208121827411,0.8431372549019608,0.8356643356643356,8006,0.8002747939045716
2G/3G/4G/5G,Transports - Metros,intrain,SMS,Réception SMS <10s,0.9841269841269841,0.9544554455445544,0.981169474727453,0.9772277227722772,8006,0.9742382957641813
2G/3G/4G/5G,Transports - Metros,intrain,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9713121569931814,0.9702445994788602,0.976726851084976,0.9754745506467327,47903,0.9734463394776945
2G/3G/4G/5G,Transports - Routes,Incar,VOIX,Communications réussies,0.9074406901509705,0.8710191082802548,0.9171378091872792,0.9,45572,0.898871412067893
2G/3G/4G/5G,Transports - Routes,Incar,VOIX,Communications réussies et sans perturbations audibles,0.6470165348670022,0.5784677990092003,0.6515901060070671,0.6325932504440497,45572,0.6273438194259309
2G/3G/4G/5G,Transports - Routes,Incar,SMS,Réception SMS <10s,0.9497284988614468,0.9345206914614982,0.9636521739130435,0.959276812357381,45572,0.9517982781977887
2G/3G/4G/5G,Transports - Routes,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9286228482003129,0.9302299936988028,0.9584998750936797,0.9394294969260263,251936,0.9392186904610694
2G/3G/4G/5G,Transports - TGV,intrain,VOIX,Communications réussies,0.5948305972755851,0.5974864130434783,0.778702163061564,0.5640138408304498,23404,0.6351051102375662
2G/3G/4G/5G,Transports - TGV,intrain,VOIX,Communications réussies et sans perturbations audibles,0.2893817673768774,0.28328804347826086,0.41480865224625624,0.2771626297577855,23404,0.3170398222526064
2G/3G/4G/5G,Transports - TGV,intrain,SMS,Réception SMS <10s,0.7259914782038676,0.7542539267015707,0.85965483555845,0.7391590013140604,23404,0.7699230895107184
2G/3G/4G/5G,Transports - TGV,intrain,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.6757304915778618,0.7233133484942458,0.8175078220650251,0.6944142970841473,115158,0.7284079265009813
2G/3G/4G/5G,Transports - Transiliens et RER,intrain,VOIX,Communications réussies,0.837152209492635,0.7955665024630542,0.8606356968215159,0.7990314769975787,9812,0.8230737871993478
2G/3G/4G/5G,Transports - Transiliens et RER,intrain,VOIX,Communications réussies et sans perturbations audibles,0.6788052373158756,0.645320197044335,0.7465362673186634,0.648910411622276,9812,0.6798817774154097
2G/3G/4G/5G,Transports - Transiliens et RER,intrain,SMS,Réception SMS <10s,0.8846787479406919,0.8679867986798679,0.9011532125205931,0.8804258804258804,9812,0.8835630528697799
2G/3G/4G/5G,Transports - Transiliens et RER,intrain,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.874454641191515,0.8601235311840916,0.9089134189381993,0.8545316070068545,53017,0.8745873964954637
2G/3G/4G/5G,Zones rurales,Incar,VOIX,Communications réussies,0.779009608277901,0.7469621157969979,0.8087080656673804,0.7641172265904217,11104,0.7746757925072046
2G/3G/4G/5G,Zones intermediaires,Incar,VOIX,Communications réussies,0.9731270358306189,0.9378029079159935,0.9773645917542442,0.9620355411954766,9882,0.9625581866019024
2G/3G/4G/5G,Zones denses,Incar,VOIX,Communications réussies,0.9925373134328358,0.9566176470588236,0.986019131714496,0.9609720176730486,10834,0.9739708325641498
2G/3G/4G/5G,Zones Touristiques,Incar,VOIX,Communications réussies,0.9446808510638298,0.8770491803278688,0.9416666666666667,0.9057377049180327,1926,0.9169262720664589
2G/3G/4G/5G,Toutes zones d'habitation,Incar,VOIX,Communications réussies,0.9145813282001924,0.87738740863004,0.9223507198489497,0.8931351733899504,33746,0.9017957683873644
2G/3G/4G/5G,Zones rurales,Indoor,VOIX,Communications réussies,0.8443952802359882,0.8515346181299072,0.9193433261955746,0.8335714285714285,11116,0.8623605613530047
2G/3G/4G/5G,Zones intermediaires,Indoor,VOIX,Communications réussies,0.9696969696969697,0.9515738498789347,0.9758064516129032,0.9564516129032258,9880,0.9633603238866397
2G/3G/4G/5G,Zones denses,Indoor,VOIX,Communications réussies,0.9836309523809523,0.9587932303164092,0.9713024282560706,0.9712389380530974,10836,0.9712070874861573
2G/3G/4G/5G,Zones Touristiques,Indoor,VOIX,Communications réussies,0.946058091286307,0.9098360655737705,0.9795081967213115,0.9262295081967213,1946,0.9403905447070915
2G/3G/4G/5G,Toutes zones d'habitation,Indoor,VOIX,Communications réussies,0.9320038443056223,0.9184539241102994,0.955937794533459,0.9188679245283019,33778,0.9313162413405175
2G/3G/4G/5G,Zones rurales,Outdoor,VOIX,Communications réussies,0.8811445341159208,0.87660485021398,0.9386590584878745,0.8773181169757489,11138,0.8935176871969833
2G/3G/4G/5G,Zones intermediaires,Outdoor,VOIX,Communications réussies,0.9861788617886179,0.9709677419354839,0.9935483870967742,0.9814066289409863,9894,0.9830200121285627
2G/3G/4G/5G,Zones denses,Outdoor,VOIX,Communications réussies,0.994069681245367,0.9830882352941176,0.9970544918998527,0.9859985261606485,10848,0.9900442477876106
2G/3G/4G/5G,Zones Touristiques,Outdoor,VOIX,Communications réussies,0.9793388429752066,0.9385245901639344,0.9794238683127572,0.9669421487603306,1942,0.9660144181256437
