"operateur","mos_dl_moy","longitude","latitude"
"FREE",273,"-3.74888",4836804
"SFR",443,"5.41635",4730455
"SFR",381,"3.55539",4624993
"FREE",393,"0.78616",4739502
"Bouygues",391,"5.69081",4835818
"Orange",292,"0.34267",4906136
"FREE",383,"3.47934",4463369
"Bouygues",369,"-0.96587",4738850
"FREE",384,"4.94090",4495937
"SFR",383,"3.14610",5067458
"Bouygues",445,"1.07347",4938755
"FREE",418,"6.94214",4920174
"Orange",386,"2.13417",4434037
"SFR",419,"9.17475",4223323
"Bouygues",390,"3.04607",5063578
"FREE",386,"-3.42979",4840042
"SFR",392,"6.12474",4334145
"Bouygues",370,"1.08123",4944064
"SFR",411,"4.85242",4588942
"Orange",445,"-1.51155",4725756
"SFR",411,"1.57064",4464943
"SFR",387,"6.84230",4887928
"FREE",451,"2.32648",4883437
"FREE",385,"-2.13068",4824413
"FREE",452,"2.70600",4799116
"FREE",449,"4.80311",4394596
"Bouygues",393,"1.43339",4973434
"Orange",371,"3.32771",4938214
"SFR",445,"3.13924",4614861
"SFR",387,"1.44788",4361223
"Bouygues",391,"2.34638",4888283
"Orange",378,"-0.51617",4595341
"FREE",394,"-3.49495",4803122
"Bouygues",382,"3.89824",4859211
"SFR",382,"0.49268",4705695
"FREE",358,"7.00358",4760658
"SFR",393,"2.30632",4887767
"Bouygues",436,"6.05037",4768733
"Bouygues",394,"-0.91344",4872131
"Bouygues",447,"-0.43876",4545269
"Bouygues",355,"-1.62977",4722561
"Orange",331,"-0.17462",4641180
"Bouygues",393,"6.01532",4314130
"SFR",439,"1.24544",4766758
"SFR",409,"1.64357",4440196
"Orange",394,"8.90788",4198751
"SFR",389,"3.05224",4579796
"Orange",385,"7.72982",4857637
"FREE",353,"8.93777",4263266
"FREE",331,"7.75430",4858033
"FREE",452,"2.29599",4886026
"FREE",392,"-3.10590",4833854
"Orange",380,"1.45462",4359948
"Orange",430,"4.80235",4394606
"FREE",388,"4.38866",4679039
"Orange",383,"5.31219",4514850
"Orange",398,"1.77920",4758469
"Orange",445,"3.30870",4938139
"FREE",377,"3.39991",4612835
"SFR",338,"6.23490",4577483
"Bouygues",392,"5.85154",4308887
"Bouygues",389,"4.78674",4397865
"Orange",387,"5.18341",4875997
"Bouygues",442,"-0.58121",4482517
"FREE",329,"2.19655",4895946
"FREE",393,"3.15484",4758169
"Orange",444,"2.02237",4700668
"Bouygues",442,"3.79353",4635034
"Bouygues",392,"0.09388",4953167
"Bouygues",394,"1.77332",4581366
"Orange",375,"2.31392",4886623
"SFR",395,"2.58199",4887349
"SFR",368,"2.55471",5073567
"Orange",387,"3.15796",4579136
"SFR",394,"-1.54775",4721988
"SFR",357,"3.35659",4939875
